producto,precio,url,moneda,fecha
Notebook Lenovo V15 G4 Amd Ryzen 3 7320u 16gb De Ram Ssd 512gb Gráficos Radeon 610m 1920x1080px Teclado Español Gris,969999,https://www.mercadolibre.com.ar/notebook-lenovo-v15-g4-amd-ryzen-3-7320u-16gb-de-ram-ssd-512gb-graficos-radeon-610m-1920x1080px-teclado-espanol-gris/p/MLA39457292,ARS,2026-01-04 19:00:43.897263
Notebook Exo Smart R41 Celeron N4020 Ram 4gb Ssd 128gb 14.1 Windows 11,379089,https://www.mercadolibre.com.ar/notebook-exo-smart-r41-celeron-n4020-ram-4gb-ssd-128gb-141-windows-11/p/MLA49101171,ARS,2026-01-04 19:00:43.897263
"Notebook Acer Aspire Ryzen 7 5700u 16gb 512gb 15,6' Fhd Gris Color Plateado",1369899,https://www.mercadolibre.com.ar/notebook-acer-aspire-ryzen-7-5700u-16gb-512gb-156-fhd-gris-color-plateado/p/MLA35478000,ARS,2026-01-04 19:00:43.897263
Laptop Hp Gamer Victus 15.6 Fhd 144hz 16gb Ram 512gb Ssd I5-13420h W11 Rtx 4050 Negro,1949999,https://www.mercadolibre.com.ar/laptop-hp-gamer-victus-156-fhd-144hz-16gb-ram-512gb-ssd-i5-13420h-w11-rtx-4050-negro/p/MLA44476308,ARS,2026-01-04 19:00:43.897263
Notebook Msi Thin 15.6 I5 13420h 16gb 512gb Rtx 4050 Ssd W11,2148189,https://www.mercadolibre.com.ar/notebook-msi-thin-156-i5-13420h-16gb-512gb-rtx-4050-ssd-w11/p/MLA54057643,ARS,2026-01-04 19:00:43.897263
